sample.id	reads.raw	reads.trim	reads.hg38	reads.t2t	reads.rRNA	reads.virgo
SRR6744121_1	37593746	36274298	22926236	22918268	22913381	17494337
SRR6744122_1	27065126	26126500	2062634	1889906	1822733	488859
SRR6744125_1	58501908	57338080	38155048	38137341	38122380	21971771
SRR6744126_1	14212461	13540913	3915288	3848676	3845829	2973657
SRR6744133_1	51001092	50031201	35563241	35545528	35527300	25462576
SRR6744134_1	49533630	47883529	23021187	22980954	22950621	14882926
SRR6744139_1	87546	80491	59119	59095	59086	44886
SRR6744141_1	95613669	93104741	67119610	67096386	67081740	48952253
SRR6744142_1	51434679	49922086	40848607	40835224	40828350	32130551
SRR6744144_1	56865510	55362430	51772649	51770534	51767728	38129156
SRR6744151_1	33893177	31941373	16962224	16953902	16944310	12595522
SRR6744152_1	86929641	85070952	79202092	79199728	79194743	60900781
SRR6744156_1	47240344	46127418	44406607	44405443	44402638	31313416
SRR6744157_1	58130001	56862554	36865694	36858215	36851998	21487859
SRR6744164_1	77304992	75928318	73019435	73016827	73011390	56031368
